Beverage_category,Beverage,size,Beverage_prep,Sodium,Cholesterol,Caffeine,Saturated Fat,Trans Fat,Total Fat,Protein,Dietary Fibre, Sugars,Total Carbohydrates,Calories,VitA,VitC,Calcium,Iron
Coffee,Brewed Coffee,Short,NA,0,0,175,0,0,0.1,0.3,0,0,5,3,0,0,0,0
Coffee,Brewed Coffee,Tall,NA,0,0,260,0,0,0.1,0.5,0,0,10,4,0,0,0,0
Coffee,Brewed Coffee,Grande,NA,0,0,330,0,0,0.1,1,0,0,10,5,0,0,0,0
Coffee,Brewed Coffee,Venti,NA,0,0,410,0,0,0.1,1,0,0,10,5,0,0,0.02,0
Classic Espresso Drinks,Caffè Latte,Short,Nonfat Milk,5,10,75,0,0.1,0.1,6,0,9,75,70,0.1,0,0.2,0
Classic Espresso Drinks,Caffè Latte,Short,2% Milk,15,10,75,0.1,2,3.5,6,0,9,85,100,0.1,0,0.2,0
Classic Espresso Drinks,Caffè Latte,Short,Soymilk,0,6,75,0,0.4,2.5,5,1,4,65,70,0.06,0,0.2,0.08
Classic Espresso Drinks,Caffè Latte,Tall,Nonfat Milk,5,15,75,0,0.2,0.2,10,0,14,120,100,0.15,0,0.3,0
Classic Espresso Drinks,Caffè Latte,Tall,2% Milk,25,15,75,0.2,3,6,10,0,14,135,150,0.15,0,0.3,0
Classic Espresso Drinks,Caffè Latte,Tall,Soymilk,0,10,75,0,0.5,4.5,8,1,6,105,110,0.1,0,0.3,0.15
Classic Espresso Drinks,Caffè Latte,Grande,Nonfat Milk,5,19,150,0,0.2,0.3,13,0,18,150,130,0.2,0,0.4,0
Classic Espresso Drinks,Caffè Latte,Grande,2% Milk,30,19,150,0.2,3.5,7,12,0,17,170,190,0.2,0.02,0.4,0
Classic Espresso Drinks,Caffè Latte,Grande,Soymilk,0,13,150,0,0.5,5,10,1,8,130,150,0.15,0,0.4,0.15
Classic Espresso Drinks,Caffè Latte,Venti,Nonfat Milk,10,25,150,0,0.3,0.4,16,0,23,190,170,0.3,0,0.5,0
Classic Espresso Drinks,Caffè Latte,Venti,2% Milk,35,24,150,0.3,4.5,9,16,0,22,220,240,0.25,0.02,0.5,0
